Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
11,-,20,2,0,55,5,lbw,2,Pakistan,Karachi,09-Nov-90,ODI # 639
23,78,40,2,0,57.5,4,caught,1,England,Lord's,27-May-91,ODI # 678
5,-,14,1,0,35.71,4,caught,2,Pakistan,Sharjah,17-Oct-91,ODI # 679
45,-,44,3,0,102.27,4,bowled,2,India,Sharjah,19-Oct-91,ODI # 681
0,-,2,0,0,0,4,lbw,2,Pakistan,Sharjah,21-Oct-91,ODI # 682
54,-,59,2,0,91.52,4,caught,1,Pakistan,Karachi,20-Nov-91,ODI # 689
18,-,42,0,0,42.85,4,bowled,1,Pakistan,Lahore,22-Nov-91,ODI # 690
45,-,65,4,0,69.23,4,caught,1,Pakistan,Faisalabad,24-Nov-91,ODI # 691
14,57,38,1,0,36.84,4,caught,2,India,Perth,06-Dec-91,ODI # 692
11,44,36,0,0,30.55,4,caught,2,Australia,Melbourne,12-Dec-91,ODI # 695
29,36,29,1,0,100,4,lbw,2,India,Adelaide,14-Dec-91,ODI # 696
19,74,54,1,0,35.18,4,caught,2,Australia,Sydney,18-Dec-91,ODI # 698
22,58,46,1,0,47.82,3,run out,1,Australia,Melbourne,09-Jan-92,ODI # 699
4,24,27,0,0,14.81,3,caught,2,India,Brisbane,11-Jan-92,ODI # 702
69,108,85,5,1,81.17,3,run out,1,Australia,Brisbane,12-Jan-92,ODI # 703
11,40,26,0,0,42.3,3,stumped,1,India,Melbourne,16-Jan-92,ODI # 707
88*,150,101,11,0,87.12,2,retired notout,2,Pakistan,Melbourne,23-Feb-92,ODI # 717
0,6,2,0,0,0,2,caught,1,England,Melbourne,27-Feb-92,ODI # 721
72,86,71,12,0,101.4,2,caught,1,Zimbabwe,Brisbane,29-Feb-92,ODI # 724
9,14,13,2,0,69.23,2,caught,2,South Africa,Christchurch,05-Mar-92,ODI # 730
52,104,81,-,-,64.19,2,caught,1,New Zealand,Auckland,08-Mar-92,ODI # 734
41,51,37,6,1,110.81,2,caught,2,India,Wellington,10-Mar-92,ODI # 737
1,8,6,0,0,16.66,2,caught,1,Sri Lanka,Berri,13-Mar-92,ODI # 742
70,180,97,3,0,72.16,2,run out,2,Australia,Melbourne,18-Mar-92,ODI # 749
50,-,68,4,0,73.52,2,caught,1,South Africa,Kingston,07-Apr-92,ODI # 753
86*,-,91,13,2,94.5,2,not out,2,South Africa,Port of Spain,11-Apr-92,ODI # 754
35,-,73,4,0,47.94,2,caught,2,South Africa,Port of Spain,12-Apr-92,ODI # 755
59,128,101,5,0,58.41,4,caught,1,Pakistan,Perth,04-Dec-92,ODI # 767
29,58,43,4,0,67.44,2,caught,2,Australia,Perth,06-Dec-92,ODI # 769
4,15,12,0,0,33.33,2,bowled,2,Australia,Sydney,08-Dec-92,ODI # 771
15,66,52,0,0,28.84,2,bowled,1,Pakistan,Adelaide,12-Dec-92,ODI # 775
74,167,123,2,0,60.16,1,bowled,2,Australia,Melbourne,15-Dec-92,ODI # 780
3,25,15,0,0,20,1,run out,1,Pakistan,Sydney,17-Dec-92,ODI # 782
10,37,33,1,0,30.3,1,caught,2,Pakistan,Brisbane,09-Jan-93,ODI # 788
10,32,28,1,0,35.71,2,caught,1,Australia,Brisbane,10-Jan-93,ODI # 789
