Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
9*,33,19,1,0,47.36,3,not out,2,Bangladesh,Chattogram,09-Mar-08,ODI # 2690
16,35,27,2,0,59.25,3,caught,2,Bangladesh,Dhaka,12-Mar-08,ODI # 2691
DNB,-,-,-,-,-,-,-,2,Bangladesh,Dhaka,14-Mar-08,ODI # 2692
46,66,59,6,0,77.96,1,caught,2,England,The Oval,29-Aug-08,ODI # 2757
34,40,31,8,0,109.67,2,run out,1,England,Lord's,31-Aug-08,ODI # 2759
3*,13,6,0,0,50,2,not out,1,England,Cardiff,03-Sep-08,ODI # 2761
7,13,7,1,0,100,2,caught,1,Kenya,Bloemfontein,31-Oct-08,ODI # 2769
78,93,76,13,0,102.63,1,caught,2,Kenya,Kimberley,02-Nov-08,ODI # 2770
35,46,34,6,0,102.94,1,run out,1,Bangladesh,Potchefstroom,07-Nov-08,ODI # 2771
140,166,135,8,4,103.7,1,caught,1,Bangladesh,Benoni,09-Nov-08,ODI # 2772
1,4,3,0,0,33.33,2,bowled,2,Australia,Melbourne,16-Jan-09,ODI # 2795
8,22,19,0,0,42.1,2,caught,2,Australia,Hobart,18-Jan-09,ODI # 2796
13,27,19,1,0,68.42,1,run out,2,Australia,Sydney,23-Jan-09,ODI # 2802
80*,157,103,7,0,77.66,1,not out,2,Australia,Adelaide,26-Jan-09,ODI # 2804
97,156,117,6,1,82.9,1,caught,1,Australia,Perth,30-Jan-09,ODI # 2808
7,15,14,1,0,50,1,caught,2,Australia,Durban,03-Apr-09,ODI # 2832
2,13,10,0,0,20,2,bowled,2,Sri Lanka,Centurion,22-Sep-09,ODI # 2893
38,103,65,3,0,58.46,2,lbw,2,New Zealand,Centurion,24-Sep-09,ODI # 2895
80,131,96,6,0,83.33,1,caught,1,Zimbabwe,Benoni,08-Nov-09,ODI # 2926
57,116,72,6,0,79.16,1,caught,1,England,Centurion,22-Nov-09,ODI # 2929
86,131,92,7,0,93.47,1,caught,1,England,Cape Town,27-Nov-09,ODI # 2930
11,28,22,2,0,50,1,caught,1,England,Port Elizabeth,29-Nov-09,ODI # 2931
34,41,22,7,0,154.54,1,caught,2,India,Gwalior,24-Feb-10,ODI # 2962
87,-,103,8,0,84.46,2,caught,1,India,Ahmedabad,27-Feb-10,ODI # 2963
102,130,109,8,0,93.57,1,bowled,1,West Indies,North Sound,22-May-10,ODI # 2979
92,132,95,7,0,96.84,2,caught,1,West Indies,North Sound,24-May-10,ODI # 2980
34,42,28,5,0,121.42,1,bowled,1,West Indies,Roseau,28-May-10,ODI # 2982
129,-,115,9,2,112.17,2,caught,2,West Indies,Roseau,30-May-10,ODI # 2984
45,-,50,3,1,90,1,run out,2,West Indies,Port of Spain,03-Jun-10,ODI # 2987
110,127,96,14,0,114.58,1,run out,1,Zimbabwe,Bloemfontein,15-Oct-10,ODI # 3057
110,128,103,12,0,106.79,1,caught,2,Zimbabwe,Potchefstroom,17-Oct-10,ODI # 3059
24,34,18,3,1,133.33,2,caught,1,Zimbabwe,Benoni,22-Oct-10,ODI # 3061
35,57,29,3,1,120.68,2,lbw,2,Pakistan,Abu Dhabi,29-Oct-10,ODI # 3062
65,84,62,8,0,104.83,1,lbw,1,Pakistan,Abu Dhabi,31-Oct-10,ODI # 3063
119*,215,126,9,0,94.44,1,not out,1,Pakistan,Dubai (DSC),02-Nov-10,ODI # 3064
10,-,12,1,0,83.33,2,caught,1,Pakistan,Dubai (DSC),05-Nov-10,ODI # 3067
62,-,47,9,1,131.91,1,caught,1,Pakistan,Dubai (DSC),08-Nov-10,ODI # 3069
50,59,36,8,0,138.88,2,caught,1,India,Durban,12-Jan-11,ODI # 3079
4,8,9,1,0,44.44,1,caught,2,India,Johannesburg,15-Jan-11,ODI # 3080
16,28,18,2,0,88.88,2,bowled,1,India,Cape Town,18-Jan-11,ODI # 3082
64,93,69,8,0,92.75,1,run out,1,India,Port Elizabeth,21-Jan-11,ODI # 3084
116*,184,132,9,0,87.87,2,not out,1,India,Centurion,23-Jan-11,ODI # 3087
14,14,15,2,0,93.33,1,caught,2,West Indies,Delhi,24-Feb-11,ODI # 3106
113,191,130,8,0,86.92,1,caught,1,Netherlands,Mohali,03-Mar-11,ODI # 3115
42,81,51,2,0,82.35,1,bowled,2,England,Chennai,06-Mar-11,ODI # 3120
61,114,72,5,0,84.72,1,caught,2,India,Nagpur,12-Mar-11,ODI # 3128
18,20,17,1,1,105.88,1,caught,1,Ireland,Kolkata,15-Mar-11,ODI # 3133
51,93,59,6,0,86.44,1,bowled,1,Bangladesh,Dhaka,19-Mar-11,ODI # 3138
7,4,5,1,0,140,1,caught,2,New Zealand,Dhaka,25-Mar-11,ODI # 3144
24,45,32,2,1,75,2,caught,2,Australia,Centurion,19-Oct-11,ODI # 3203
0,2,1,0,0,0,1,caught,1,Australia,Port Elizabeth,23-Oct-11,ODI # 3208
52,112,72,7,0,72.22,1,run out,1,Australia,Durban,28-Oct-11,ODI # 3211
112,210,128,8,0,87.5,1,caught,1,Sri Lanka,Paarl,11-Jan-12,ODI # 3225
55,97,58,5,2,94.82,2,bowled,2,Sri Lanka,East London,14-Jan-12,ODI # 3226
8,18,10,1,0,80,1,bowled,2,New Zealand,Wellington,25-Feb-12,ODI # 3249
92,138,107,12,0,85.98,1,caught,2,New Zealand,Napier,29-Feb-12,ODI # 3252
76,113,89,7,0,85.39,1,caught,2,New Zealand,Auckland,03-Mar-12,ODI # 3254
TDNB,-,-,-,-,-,-,-,-,England,Cardiff,24-Aug-12,ODI # 3296
150,209,124,16,0,120.96,2,caught,1,England,Southampton,28-Aug-12,ODI # 3298
43,68,51,5,0,84.31,1,bowled,1,England,The Oval,31-Aug-12,ODI # 3300
45,111,73,3,1,61.64,2,bowled,1,England,Lord's,02-Sep-12,ODI # 3302
97*,141,107,9,1,90.65,1,not out,2,England,Nottingham,05-Sep-12,ODI # 3304
13,19,22,1,0,59.09,1,lbw,1,New Zealand,Paarl,19-Jan-13,ODI # 3323
43,75,43,6,0,100,2,caught,1,Pakistan,Bloemfontein,10-Mar-13,ODI # 3343
17,19,16,3,0,106.25,1,caught,1,Pakistan,Centurion,15-Mar-13,ODI # 3346
122,201,113,9,1,107.96,2,caught,1,Pakistan,Johannesburg,17-Mar-13,ODI # 3347
0,1,1,0,0,0,1,caught,1,Pakistan,Durban,21-Mar-13,ODI # 3348
22,102,65,2,0,33.84,1,caught,2,Pakistan,Benoni,24-Mar-13,ODI # 3350
20,31,23,2,0,86.95,1,caught,1,Netherlands,Amstelveen,31-May-13,ODI # 3359
22,17,15,4,0,146.66,1,caught,2,India,Cardiff,06-Jun-13,ODI # 3363
81,136,97,9,0,83.5,2,caught,1,Pakistan,Birmingham,10-Jun-13,ODI # 3367
23,57,27,2,0,85.18,2,caught,1,West Indies,Cardiff,14-Jun-13,ODI # 3371
1,9,3,0,0,33.33,2,caught,1,England,The Oval,19-Jun-13,ODI # 3375
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Colombo (RPS),23-Jul-13,ODI # 3394
77,88,71,9,0,108.45,1,lbw,1,Sri Lanka,Pallekele,28-Jul-13,ODI # 3400
18,40,28,2,0,64.28,2,lbw,2,Sri Lanka,Colombo (RPS),31-Jul-13,ODI # 3401
10,19,10,1,0,100,1,bowled,1,Pakistan,Abu Dhabi,06-Nov-13,ODI # 3430
46,78,50,6,0,92,2,bowled,1,Pakistan,Abu Dhabi,08-Nov-13,ODI # 3431
3,3,4,0,0,75,1,lbw,1,Pakistan,Sharjah,11-Nov-13,ODI # 3433
3,12,3,0,0,100,2,bowled,2,Pakistan,Cape Town,24-Nov-13,ODI # 3438
98,189,131,7,0,74.8,1,caught,2,Pakistan,Port Elizabeth,27-Nov-13,ODI # 3440
41,69,48,6,0,85.41,2,run out,2,Pakistan,Centurion,30-Nov-13,ODI # 3441
65,117,88,5,1,73.86,1,bowled,1,India,Johannesburg,05-Dec-13,ODI # 3442
100,160,117,8,0,85.47,2,caught,1,India,Durban,08-Dec-13,ODI # 3443
13,21,16,3,0,81.25,1,caught,1,India,Centurion,11-Dec-13,ODI # 3444
109,176,130,8,1,83.84,1,lbw,1,Sri Lanka,Colombo (RPS),06-Jul-14,ODI # 3500
101,162,102,11,0,99.01,1,caught,2,Sri Lanka,Pallekele,09-Jul-14,ODI # 3501
48,83,61,4,0,78.68,1,caught,1,Sri Lanka,Hambantota,12-Jul-14,ODI # 3502
122*,209,132,6,3,92.42,2,not out,1,Zimbabwe,Bulawayo,17-Aug-14,ODI # 3507
15,38,21,2,0,71.42,2,bowled,1,Zimbabwe,Bulawayo,19-Aug-14,ODI # 3508
24,36,29,4,0,82.75,2,caught,2,Australia,Harare,27-Aug-14,ODI # 3516
66,102,80,5,1,82.5,1,stumped,1,Zimbabwe,Harare,29-Aug-14,ODI # 3518
17,42,28,2,0,60.71,1,caught,2,Australia,Harare,02-Sep-14,ODI # 3522
14,32,22,2,0,63.63,2,caught,1,Zimbabwe,Harare,04-Sep-14,ODI # 3524
51,95,75,2,0,68,1,caught,2,Australia,Harare,06-Sep-14,ODI # 3526
38,95,74,1,0,51.35,2,bowled,2,New Zealand,Mount Maunganui,21-Oct-14,ODI # 3536
119,185,135,15,0,88.14,1,bowled,1,New Zealand,Mount Maunganui,24-Oct-14,ODI # 3537
12,24,20,2,0,60,2,caught,1,New Zealand,Hamilton,27-Oct-14,ODI # 3538
8,22,13,1,0,61.53,1,caught,2,Australia,Perth,14-Nov-14,ODI # 3545
10,30,22,1,0,45.45,2,caught,2,Australia,Perth,16-Nov-14,ODI # 3546
102,168,115,9,0,88.69,1,bowled,2,Australia,Canberra,19-Nov-14,ODI # 3548
18,23,20,3,0,90,2,caught,1,Australia,Melbourne,21-Nov-14,ODI # 3549
18,45,28,3,0,64.28,1,caught,1,Australia,Sydney,23-Nov-14,ODI # 3551
66,87,66,10,0,100,1,run out,1,West Indies,Durban,16-Jan-15,ODI # 3579
153*,236,142,14,0,107.74,1,not out,1,West Indies,Johannesburg,18-Jan-15,ODI # 3583
61*,99,63,9,0,96.82,2,not out,2,West Indies,East London,21-Jan-15,ODI # 3587
133,190,105,11,6,126.66,2,bowled,1,West Indies,Centurion,28-Jan-15,ODI # 3593
